Event #,Current Time,J1 Arrival,J2 Arrival,Service Completion,Server Status,Queue Length,Queue Content
0,4.028823736280291,4.5388619093052185,8.777310073331705,5.355980122365581,1,0,[]
1,4.5388619093052185,22.884553795634858,8.777310073331705,5.355980122365581,1,1,['J1']
2,5.355980122365581,22.884553795634858,8.777310073331705,8.037206527768085,1,0,[]
3,8.037206527768085,22.884553795634858,8.777310073331705,501,0,0,[]
4,8.777310073331705,22.884553795634858,12.39652066534134,11.134597134018435,1,0,[]
5,11.134597134018435,22.884553795634858,12.39652066534134,501,0,0,[]
6,12.39652066534134,22.884553795634858,15.710021518698154,13.472878033102116,1,0,[]
7,13.472878033102116,22.884553795634858,15.710021518698154,501,0,0,[]
8,15.710021518698154,22.884553795634858,17.23710767340469,18.156319760745944,1,0,[]
9,17.23710767340469,22.884553795634858,19.018472719916282,18.156319760745944,1,1,['J2']
10,18.156319760745944,22.884553795634858,19.018472719916282,18.6116558690104,1,0,[]
11,18.6116558690104,22.884553795634858,19.018472719916282,501,0,0,[]
12,19.018472719916282,22.884553795634858,19.209627618051663,20.203048236925845,1,0,[]
13,19.209627618051663,22.884553795634858,19.04006562763395,20.203048236925845,1,1,['J2']
14,19.04006562763395,22.884553795634858,20.23196774008484,20.203048236925845,1,2,"['J2', 'J2']"
15,20.203048236925845,22.884553795634858,20.23196774008484,21.92688009608968,1,1,['J2']
16,20.23196774008484,22.884553795634858,18.737426946121474,21.92688009608968,1,2,"['J2', 'J2']"
17,18.737426946121474,22.884553795634858,23.23979815344915,21.92688009608968,1,3,"['J2', 'J2', 'J2']"
18,21.92688009608968,22.884553795634858,23.23979815344915,23.608022152474277,1,2,"['J2', 'J2']"
19,22.884553795634858,26.797425708430097,23.23979815344915,23.608022152474277,1,3,"['J2', 'J2', 'J1']"
20,23.23979815344915,26.797425708430097,25.649895866326617,23.608022152474277,1,4,"['J2', 'J2', 'J1', 'J2']"
21,23.608022152474277,26.797425708430097,25.649895866326617,26.078902673660757,1,3,"['J2', 'J2', 'J1']"
22,25.649895866326617,26.797425708430097,28.98716509735396,26.078902673660757,1,4,"['J2', 'J2', 'J1', 'J2']"
23,26.078902673660757,26.797425708430097,28.98716509735396,27.086500105454842,1,3,"['J2', 'J2', 'J1']"
24,26.797425708430097,28.00625705443872,28.98716509735396,27.086500105454842,1,4,"['J2', 'J2', 'J1', 'J1']"
25,27.086500105454842,28.00625705443872,28.98716509735396,31.08306945569032,1,3,"['J2', 'J2', 'J1']"
26,28.00625705443872,33.62267180722946,28.98716509735396,31.08306945569032,1,4,"['J2', 'J2', 'J1', 'J1']"
27,28.98716509735396,33.62267180722946,31.119337840497053,31.08306945569032,1,5,"['J2', 'J2', 'J1', 'J1', 'J2']"
28,31.08306945569032,33.62267180722946,31.119337840497053,32.798412468374416,1,4,"['J2', 'J2', 'J1', 'J1']"
29,31.119337840497053,33.62267180722946,31.173284169792208,32.798412468374416,1,5,"['J2', 'J2', 'J1', 'J1', 'J2']"
30,31.173284169792208,33.62267180722946,34.74461039880418,32.798412468374416,1,6,"['J2', 'J2', 'J1', 'J1', 'J2', 'J2']"
31,32.798412468374416,33.62267180722946,34.74461039880418,33.73769255383388,1,5,"['J2', 'J2', 'J1', 'J1', 'J2']"
32,33.62267180722946,42.52419371005391,34.74461039880418,33.73769255383388,1,6,"['J2', 'J2', 'J1', 'J1', 'J2', 'J1']"
33,33.73769255383388,42.52419371005391,34.74461039880418,35.907150565521135,1,5,"['J2', 'J2', 'J1', 'J1', 'J2']"
34,34.74461039880418,42.52419371005391,34.78257228369241,35.907150565521135,1,6,"['J2', 'J2', 'J1', 'J1', 'J2', 'J2']"
35,34.78257228369241,42.52419371005391,38.20442550793718,35.907150565521135,1,7,"['J2', 'J2', 'J1', 'J1', 'J2', 'J2', 'J2']"
36,35.907150565521135,42.52419371005391,38.20442550793718,37.78154221540146,1,6,"['J2', 'J2', 'J1', 'J1', 'J2', 'J2']"
37,37.78154221540146,42.52419371005391,38.20442550793718,39.446761806787535,1,5,"['J2', 'J2', 'J1', 'J1', 'J2']"
38,38.20442550793718,42.52419371005391,41.68090361180756,39.446761806787535,1,6,"['J2', 'J2', 'J1', 'J1', 'J2', 'J2']"
39,39.446761806787535,42.52419371005391,41.68090361180756,42.02116430732991,1,5,"['J2', 'J2', 'J1', 'J1', 'J2']"
40,41.68090361180756,42.52419371005391,44.46310690997359,42.02116430732991,1,6,"['J2', 'J2', 'J1', 'J1', 'J2', 'J2']"
41,42.02116430732991,42.52419371005391,44.46310690997359,43.23288223871531,1,5,"['J2', 'J2', 'J1', 'J1', 'J2']"
42,42.52419371005391,50.449727494059516,44.46310690997359,43.23288223871531,1,6,"['J2', 'J2', 'J1', 'J1', 'J2', 'J1']"
